word,length,minimum_age
a,1,5
an,2,5
at,2,5
be,2,5
by,2,5
do,2,5
go,2,5
he,2,5
if,2,5
in,2,5
is,2,5
it,2,5
me,2,5
my,2,5
no,2,5
of,2,5
on,2,5
or,2,5
so,2,5
to,2,5
up,2,5
us,2,5
we,2,5
add,3,5
all,3,5
and,3,5
any,3,5
are,3,5
ask,3,5
bad,3,5
bag,3,5
bed,3,5
big,3,5
bit,3,5
box,3,5
boy,3,5
but,3,5
buy,3,5
can,3,5
car,3,5
cat,3,5
cup,3,5
cut,3,5
dad,3,5
day,3,5
did,3,5
dig,3,5
dog,3,5
eat,3,5
egg,3,5
end,3,5
eye,3,5
far,3,5
fat,3,5
few,3,5
fly,3,5
for,3,5
fox,3,5
fun,3,5
get,3,5
got,3,5
had,3,5
has,3,5
hat,3,5
her,3,5
him,3,5
his,3,5
hit,3,5
hop,3,5
hot,3,5
how,3,5
hug,3,5
ice,3,5
its,3,5
jam,3,5
jar,3,5
job,3,5
joy,3,5
jug,3,5
key,3,5
kid,3,5
kit,3,5
lap,3,5
leg,3,5
let,3,5
lid,3,5
lip,3,5
lot,3,5
low,3,5
mad,3,5
man,3,5
map,3,5
mat,3,5
may,3,5
men,3,5
mix,3,5
mom,3,5
mop,3,5
mud,3,5
mug,3,5
nap,3,5
net,3,5
new,3,5
not,3,5
now,3,5
nut,3,5
odd,3,5
off,3,5
old,3,5
one,3,5
our,3,5
out,3,5
own,3,5
pan,3,5
pat,3,5
pay,3,5
pen,3,5
pet,3,5
pie,3,5
pig,3,5
pin,3,5
pit,3,5
pop,3,5
pot,3,5
put,3,5
ran,3,5
rat,3,5
raw,3,5
red,3,5
rib,3,5
rid,3,5
rip,3,5
row,3,5
rub,3,5
rug,3,5
run,3,5
sad,3,5
sat,3,5
saw,3,5
say,3,5
sea,3,5
see,3,5
set,3,5
she,3,5
sit,3,5
six,3,5
sky,3,5
sob,3,5
son,3,5
sub,3,5
sum,3,5
sun,3,5
tab,3,5
tag,3,5
tan,3,5
tap,3,5
ten,3,5
the,3,5
tie,3,5
tin,3,5
tip,3,5
toe,3,5
top,3,5
toy,3,5
try,3,5
tub,3,5
tug,3,5
two,3,5
use,3,5
van,3,5
vet,3,5
was,3,5
way,3,5
web,3,5
wet,3,5
who,3,5
why,3,5
wig,3,5
win,3,5
won,3,5
yes,3,5
yet,3,5
you,3,5
zip,3,5
zoo,3,5
able,4,5
also,4,5
back,4,5
ball,4,5
band,4,5
bank,4,5
base,4,5
bath,4,5
bear,4,5
beat,4,5
been,4,5
bell,4,5
best,4,5
bird,4,5
blue,4,5
boat,4,5
body,4,5
book,4,5
born,4,5
both,4,5
bowl,4,5
bush,4,5
busy,4,5
cake,4,5
call,4,5
came,4,5
camp,4,5
card,4,5
care,4,5
case,4,5
cave,4,5
city,4,5
clap,4,5
coat,4,5
cold,4,5
come,4,5
cook,4,5
cool,4,5
copy,4,5
cost,4,5
crab,4,5
crop,4,5
cute,4,5
dark,4,5
date,4,5
deal,4,5
dear,4,5
deep,4,5
desk,4,5
does,4,5
done,4,5
door,4,5
down,4,5
draw,4,5
drop,4,5
drum,4,5
duck,4,5
dust,4,5
each,4,5
east,4,5
easy,4,5
edge,4,5
else,4,5
even,4,5
ever,4,5
eyes,4,5
face,4,5
fact,4,5
