word,length,minimum_age
Aaron,5,5
abaisse,7,6
abaisser,8,6
abandon,7,6
abasie,6,5
abats,5,5
abattage,8,6
abatteur,8,6
abattoir,8,6
abattre,7,6
abattu,6,5
abattus,7,6
abbatial,8,6
abbaye,6,5
abbe,4,5
abbesse,7,6
abc,3,5
abceder,7,6
abces,5,5
Abdel,5,5
abdiquer,8,6
abdomen,7,6
abeille,7,6
aber,4,5
aberrant,8,6
abetir,6,5
abhorrer,8,6
Abidjan,7,6
abime,5,5
abimer,6,5
abject,6,5
abjurer,7,6
ablation,8,6
aboli,5,5
abolir,6,5
abominer,8,6
abondant,8,6
abonne,6,5
abonnee,7,6
abonner,7,6
abonnes,7,6
abord,5,5
abordage,8,6
aborde,6,5
aborde,6,5
aborder,7,6
abordes,7,6
abords,6,5
abortif,7,6
about,5,5
abouti,6,5
aboutir,7,6
aboutit,7,6
aboyer,6,5
abrasif,7,6
abrasion,8,6
abrasive,8,6
abrege,6,5
abregee,7,6
abreger,7,6
abreuver,8,6
abri,4,5
abricot,7,6
abrite,6,5
abrite,6,5
abriter,7,6
abroger,7,6
abrupt,6,5
abruti,6,5
absence,7,6
absent,6,5
absente,7,6
absents,7,6
absinthe,8,6
absolu,6,5
absolue,7,6
absorbe,7,6
absorber,8,6
absoudre,8,6
abstenu,7,6
abstenus,8,6
abstrait,8,6
absurde,7,6
abus,4,5
abuser,6,5
abusif,6,5
abusive,7,6
abyssin,7,6
Abyssin,7,6
Abyssine,8,6
acacia,6,5
academie,8,6
Academie,8,6
acajou,6,5
accabler,8,6
accalmie,8,6
accede,6,5
accede,6,5
acceder,7,6
accelere,8,6
accent,6,5
accents,7,6
accentue,8,6
accentue,8,6
accepte,7,6
accepte,7,6
acceptee,8,6
accepter,8,6
acceptes,8,6
acces,5,5
accident,8,6
accise,6,5
acclamer,8,6
accompli,8,6
accord,6,5
accorde,7,6
accorde,7,6
accordee,8,6
accorder,8,6
accordes,8,6
accords,7,6
accore,6,5
accoster,8,6
accroche,8,6
accru,5,5
accrue,6,5
accrues,7,6
accrus,6,5
accueil,7,6
accumule,8,6
accus,5,5
accusait,8,6
accusant,8,6
accuse,6,5
accuse,6,5
accusee,7,6
accusent,8,6
accuser,7,6
accuses,7,6
acerbe,6,5
acere,5,5
acerer,6,5
acetone,7,6
acharne,7,6
acharnee,8,6
achat,5,5
achats,6,5
achetant,8,6
achete,6,5
achete,6,5
achetee,7,6
achetees,8,6
achetent,8,6
acheter,7,6
achetes,7,6
acheteur,8,6
acheve,6,5
acheve,6,5
achevee,7,6
achevees,8,6
achever,7,6
acheves,7,6
achopper,8,6
acide,5,5
acides,6,5
acidite,7,6
acidule,7,6
acier,5,5
acme,4,5
acne,4,5
acolyte,7,6
acompte,7,6
acquerir,8,6
acquiert,8,6
acquis,6,5
acquise,7,6
acquises,8,6
acquit,6,5
acre,4,5
acrobate,8,6
acte,4,5
actes,5,5
acteur,6,5
acteurs,7,6
actif,5,5
actifs,6,5
actinie,7,6
action,6,5
actions,7,6
active,6,5
activer,7,6
actives,7,6
activite,8,6
actrice,7,6
actuel,6,5
actuelle,8,6
actuels,7,6
acuite,6,5
acul,4,5
adagio,6,5
Adam,4,5
adamien,7,6
adamite,7,6
Adams,5,5
