word,length,minimum_age
al,2,5
as,2,5
de,2,5
do,2,5
eb,2,5
en,2,5
er,2,5
ge,2,5
ha,2,5
ik,2,5
in,2,5
is,2,5
ja,2,5
je,2,5
ma,2,5
me,2,5
mi,2,5
na,2,5
nu,2,5
of,2,5
om,2,5
op,2,5
pa,2,5
so,2,5
te,2,5
uw,2,5
va,2,5
we,2,5
ze,2,5
zo,2,5
ui,2,5
ei,2,5
aai,3,5
aak,3,5
aal,3,5
aan,3,5
aap,3,5
aar,3,5
aas,3,5
arm,3,5
bal,3,5
ban,3,5
bed,3,5
ben,3,5
bes,3,5
beu,3,5
bij,3,5
bil,3,5
bos,3,5
bot,3,5
bui,3,5
buk,3,5
bus,3,5
dag,3,5
dak,3,5
dam,3,5
dan,3,5
das,3,5
dat,3,5
den,3,5
dek,3,5
dik,3,5
dip,3,5
dit,3,5
doe,3,5
dol,3,5
dom,3,5
dop,3,5
dor,3,5
dos,3,5
dub,3,5
duf,3,5
dun,3,5
duo,3,5
dus,3,5
duw,3,5
een,3,5
eer,3,5
eet,3,5
eis,3,5
elf,3,5
els,3,5
eng,3,5
erg,3,5
ets,3,5
fee,3,5
fel,3,5
fep,3,5
fes,3,5
fit,3,5
fop,3,5
fut,3,5
gal,3,5
gas,3,5
gat,3,5
gek,3,5
gel,3,5
gem,3,5
gen,3,5
gif,3,5
gis,3,5
gok,3,5
gom,3,5
gul,3,5
hak,3,5
hal,3,5
ham,3,5
hap,3,5
heg,3,5
hel,3,5
hem,3,5
hen,3,5
hes,3,5
het,3,5
hik,3,5
hof,3,5
hol,3,5
hom,3,5
hop,3,5
hor,3,5
hut,3,5
hup,3,5
ijs,3,5
jas,3,5
jat,3,5
jij,3,5
jok,3,5
juf,3,5
jul,3,5
jus,3,5
kaf,3,5
kak,3,5
kal,3,5
kam,3,5
kan,3,5
kap,3,5
kas,3,5
kat,3,5
kei,3,5
kel,3,5
ken,3,5
kes,3,5
ket,3,5
keu,3,5
kid,3,5
kik,3,5
kil,3,5
kim,3,5
kin,3,5
kip,3,5
kis,3,5
kit,3,5
koe,3,5
kok,3,5
kol,3,5
kom,3,5
kon,3,5
kop,3,5
kor,3,5
kos,3,5
kub,3,5
kul,3,5
kun,3,5
kus,3,5
kut,3,5
laf,3,5
lag,3,5
lak,3,5
lam,3,5
lap,3,5
las,3,5
lat,3,5
leg,3,5
lek,3,5
lel,3,5
lep,3,5
les,3,5
let,3,5
lid,3,5
lig,3,5
lik,3,5
lip,3,5
lis,3,5
log,3,5
lok,3,5
lol,3,5
lom,3,5
los,3,5
lot,3,5
lug,3,5
lui,3,5
lul,3,5
lus,3,5
maf,3,5
mak,3,5
mal,3,5
mam,3,5
man,3,5
map,3,5
mas,3,5
mat,3,5
mee,3,5
mei,3,5
mel,3,5
men,3,5
mes,3,5
met,3,5
mij,3,5
mil,3,5
min,3,5
mis,3,5
moe,3,5
mol,3,5
mop,3,5
mos,3,5
mug,3,5
mul,3,5
mum,3,5
mus,3,5
mut,3,5
nap,3,5
nat,3,5
nee,3,5
nek,3,5
nen,3,5
nep,3,5
nes,3,5
net,3,5
nik,3,5
nip,3,5
nis,3,5
nok,3,5
nom,3,5
non,3,5
nop,3,5
nor,3,5
nos,3,5
not,3,5
nul,3,5
nut,3,5
och,3,5
oef,3,5
oen,3,5
oma,3,5
ook,3,5
oom,3,5
oor,3,5
opa,3,5
ons,3,5
oog,3,5
pak,3,5
pal,3,5
pan,3,5
pap,3,5
pas,3,5
pat,3,5
pek,3,5
pel,3,5
pen,3,5
pep,3,5
pet,3,5
pik,3,5
pin,3,5
pit,3,5
pok,3,5
pol,3,5
pon,3,5
pop,3,5
por,3,5
pos,3,5
pot,3,5
pui,3,5
pul,3,5
put,3,5
raf,3,5
ram,3,5
rap,3,5
ras,3,5
rat,3,5
ree,3,5
rem,3,5
ren,3,5
rep,3,5
res,3,5
reu,3,5
rib,3,5
rik,3,5
ril,3,5
rim,3,5
rit,3,5
rob,3,5
roe,3,5
rok,3,5
rol,3,5
ros,3,5
rot,3,5
rug,3,5
rui,3,5
ruk,3,5
rum,3,5
run,3,5
rus,3,5
rut,3,5
sap,3,5
sas,3,5
sat,3,5
set,3,5
sik,3,5
sim,3,5
sin,3,5
sip,3,5
sis,3,5
sla,3,5
sok,3,5
som,3,5
sop,3,5
spa,3,5
sos,3,5
suf,3,5
sul,3,5
tak,3,5
tam,3,5
tan,3,5
tap,3,5
tas,3,5
tee,3,5
tel,3,5
tem,3,5
ten,3,5
tet,3,5
tik,3,5
til,3,5
tin,3,5
tip,3,5
tis,3,5
tit,3,5
tob,3,5
toe,3,5
tof,3,5
tok,3,5
tol,3,5
tom,3,5
ton,3,5
top,3,5
tor,3,5
tot,3,5
tuk,3,5
tul,3,5
tut,3,5
uit,3,5
uil,3,5
uur,3,5
vak,3,5
val,3,5
van,3,5
vat,3,5
vel,3,5
ven,3,5
ver,3,5
vet,3,5
via,3,5
vie,3,5
vil,3,5
vin,3,5
vis,3,5
vla,3,5
vlo,3,5
vod,3,5
vol,3,5
vos,3,5
wat,3,5
wak,3,5
wan,3,5
war,3,5
was,3,5
wee,3,5
weg,3,5
wei,3,5
wek,3,5
wel,3,5
wen,3,5
wes,3,5
wet,3,5
wie,3,5
wij,3,5
wik,3,5
wil,3,5
win,3,5
wip,3,5
wis,3,5
wit,3,5
wok,3,5
wol,3,5
won,3,5
zak,3,5
zal,3,5
zap,3,5
zat,3,5
zee,3,5
zei,3,5
zes,3,5
zet,3,5
zij,3,5
zin,3,5
zit,3,5
zoe,3,5
zog,3,5
zon,3,5
zoo,3,5
zot,3,5
zul,3,5
zus,3,5
zut,3,5
acht,4,5
adel,4,5
adem,4,5
ader,4,5
baby,4,5
baan,4,5
baar,4,5
baas,4,5
baat,4,5
back,4,5
bade,4,5
balk,4,5
bank,4,5
bang,4,5
bars,4,5
base,4,5
bate,4,5
bats,4,5
beef,4,5
been,4,5
beer,4,5
beet,4,5
berg,4,5
berm,4,5
bert,4,5
beuk,4,5
bier,4,5
biet,4,5
blik,4,5
bluf,4,5
boek,4,5
boer,4,5
boel,4,5
boes,4,5
bons,4,5
boom,4,5
boon,4,5
boos,4,5
boot,4,5
bord,4,5
brak,4,5
bril,4,5
brug,4,5
buik,4,5
buis,4,5
bult,4,5
buur,4,5
dans,4,5
deel,4,5
deeg,4,5
deur,4,5
dief,4,5
dier,4,5
dijk,4,5
ding,4,5
doel,4,5
doek,4,5
doen,4,5
doof,4,5
dood,4,5
doos,4,5
dorp,4,5
draf,4,5
druk,4,5
duik,4,5
duin,4,5
duit,4,5
duur,4,5
echt,4,5
eend,4,5
eens,4,5
eind,4,5
elft,4,5
erge,4,5
even,4,5
faal,4,5
film,4,5
fles,4,5
fors,4,5
foto,4,5
fris,4,5
gaan,4,5
gang,4,5
gans,4,5
gast,4,5
gauw,4,5
geel,4,5
geen,4,5
geit,4,5
geld,4,5
gesp,4,5
geur,4,5
gids,4,5
glas,4,5
golf,4,5
goud,4,5
grap,4,5
gras,4,5
gril,4,5
grim,4,5
grot,4,5
haak,4,5
haai,4,5
haar,4,5
haas,4,5
haat,4,5
hals,4,5
hand,4,5
hang,4,5
hard,4,5
hark,4,5
harp,4,5
hart,4,5
heel,4,5
heer,4,5
heet,4,5
heft,4,5
heks,4,5
held,4,5
helm,4,5
hemd,4,5
hert,4,5
hiel,4,5
hier,4,5
hoed,4,5
hoef,4,5
hoek,4,5
hoen,4,5
hoes,4,5
hoek,4,5
hond,4,5
hoog,4,5
hooi,4,5
hoop,4,5
hoos,4,5
huis,4,5
hulp,4,5
huur,4,5
ijle,4,5
jaar,4,5
jong,4,5
kaak,4,5
kaap,4,5
kaas,4,5
kade,4,5
kalf,4,5
kalk,4,5
kamp,4,5
kans,4,5
kant,4,5
keel,4,5
keer,4,5
kerk,4,5
kern,4,5
kers,4,5
kind,4,5
kist,4,5
klap,4,5
klas,4,5
klem,4,5
klep,4,5
klok,4,5
klop,4,5
knie,4,5
knip,4,5
knol,4,5
knop,4,5
knot,4,5
koek,4,5
koel,4,5
koen,4,5
kolf,4,5
kolk,4,5
kool,4,5
koop,4,5
koor,4,5
korf,4,5
kort,4,5
koud,4,5
krab,4,5
kras,4,5
krul,4,5
kurk,4,5
kust,4,5
laan,4,5
laag,4,5
laas,4,5
laat,4,5
lamp,4,5
land,4,5
lang,4,5
last,4,5
leed,4,5
leeg,4,5
leer,4,5
lees,4,5
leid,4,5
lens,4,5
leuk,4,5
lied,4,5
lief,4,5
ligt,4,5
lijf,4,5
lijn,4,5
lijm,4,5
link,4,5
lint,4,5
list,4,5
loep,4,5
loon,4,5
loop,4,5
loos,4,5
loot,4,5
luik,4,5
luis,4,5
maan,4,5
maar,4,5
maai,4,5
maat,4,5
maak,4,5
mand,4,5
mans,4,5
mark,4,5
mart,4,5
meer,4,5
mees,4,5
melk,4,5
mens,4,5
mest,4,5
mets,4,5
mier,4,5
mild,4,5
mist,4,5
moed,4,5
moer,4,5
moes,4,5
moet,4,5
mond,4,5
moor,4,5
moot,4,5
mops,4,5
mouw,4,5
muis,4,5
munt,4,5
muur,4,5
naad,4,5
naam,4,5
naar,4,5
nauw,4,5
neef,4,5
neen,4,5
neer,4,5
nest,4,5
niet,4,5
niks,4,5
noot,4,5
ober,4,5
oker,4,5
ober,4,5
olie,4,5
ooit,4,5
oren,4,5
over,4,5
paal,4,5
paar,4,5
pand,4,5
pand,4,5
park,4,5
past,4,5
paus,4,5
peer,4,5
pels,4,5
pens,4,5
perk,4,5
pers,4,5
pier,4,5
pijn,4,5
pijp,4,5
plas,4,5
plat,4,5
plof,4,5
plug,4,5
poes,4,5
poet,4,5
pols,4,5
pomp,4,5
pond,4,5
poot,4,5
post,4,5
punt,4,5
raad,4,5
raam,4,5
raar,4,5
rand,4,5
rang,4,5
raps,4,5
rast,4,5
rede,4,5
reep,4,5
reis,4,5
reus,4,5
riem,4,5
riet,4,5
rijk,4,5
rijp,4,5
ring,4,5
rits,4,5
roep,4,5
roer,4,5
roes,4,5
roet,4,5
rood,4,5
rook,4,5
room,4,5
roos,4,5
rust,4,5
ruig,4,5
ruim,4,5
ruit,4,5
saai,4,5
safe,4,5
sage,4,5
saus,4,5
sein,4,5
seks,4,5
sier,4,5
slag,4,5
slak,4,5
slap,4,5
slim,4,5
slot,4,5
smal,4,5
snel,4,5
snit,4,5
snor,4,5
soep,4,5
spat,4,5
spek,4,5
spel,4,5
spin,4,5
spul,4,5
staf,4,5
stam,4,5
stek,4,5
stem,4,5
step,4,5
ster,4,5
stil,4,5
stip,4,5
stof,4,5
stok,4,5
stop,4,5
stuk,4,5
taal,4,5
tand,4,5
tang,4,5
tank,4,5
taps,4,5
tapt,4,5
teen,4,5
term,4,5
test,4,5
tien,4,5
tijd,4,5
tolk,4,5
tong,4,5
toon,4,5
touw,4,5
trap,4,5
tree,4,5
tref,4,5
trek,4,5
tros,4,5
trui,4,5
tuin,4,5
tulp,4,5
turn,4,5
type,4,5
